"month","country","generation"
"01","USA.RM",31955.5
"01","USA.RW",27330
"01","USA.SA",17298.3
"01","USA.SC",15051.2
"01","USA.SE",17217.4
"01","USA.SN",26425.7
"01","USA.SS",24595.6
"01","USA.SV",24560.5
"01","USA.SW",26275.9
"01","UZB",11872.7
"01","VEN",20462.9
"01","VNM",99870.7
"01","YEM",12484
"01","ZAF",455300.7
"01","ZMB",10552
"01","ZWE",11474.6
"02","AFG",10926.3
"02","AGO",4892.7
"02","ALB",12761.6
"02","ARE",15478.2
"02","ARG",244172.4
"02","ARM",7426.7
"02","ATA",32336.8
"02","AUS",1097229.4
"02","AUS.NT",17886.2
"02","AUS.QL",13097.1
"02","AUS.SA",21345.9
"02","AUS.SW",11815.9
"02","AUS.TA",28180.9
"02","AUS.VI",17600.6
"02","AUS.WA",18621.4
"02","AUT",88578
"02","AZE",9237.4
"02","BDI",1707.2
"02","BEL",265025.7
"02","BEN",8748
"02","BFA",14884.4
"02","BGD",4095.6
"02","BGR",49371.6
"02","BHR",20532.3
"02","BIH",11456.5
"02","BLR",14331.4
"02","BOL",6806.9
"02","BRA",6948039.4
"02","BRA.CN",10744.1
"02","BRA.CW",6812.8
"02","BRA.NE",18247.3
"02","BRA.NW",7988.8
"02","BRA.SE",18143
"02","BRA.SO",11619.9
"02","BRA.WE",2992.7
"02","BRN",4322.4
"02","BTN",1422.6
"02","BWA",11322.6
"02","CAF",7516.2
"02","CAN",4908263.4
"02","CAN.AB",16306.1
"02","CAN.AR",23296.2
"02","CAN.BC",7868.3
"02","CAN.MB",21564.6
"02","CAN.NL",29048.1
"02","CAN.NO",12661.6
"02","CAN.ON",21675.1
"02","CAN.QC",17373.8
"02","CAN.SK",19841.6
"02","CHE",10468.7
"02","CHL",274400
"02","CHN",10191001.6
"02","CHN.AN",8739.4
"02","CHN.BE",9104.5
"02","CHN.CH",1800.2
"02","CHN.EM",15488.9
"02","CHN.FU",28800.9
"02","CHN.GA",10308
"02","CHN.GD",8370
"02","CHN.GU",7754.1
"02","CHN.GX",5939.2
"02","CHN.HA",6018.5
"02","CHN.HB",15341.9
"02","CHN.HE",8347.5
"02","CHN.HJ",9703.4
"02","CHN.HK",8160
"02","CHN.HN",5408.1
"02","CHN.HU",4328.2
"02","CHN.JI",11978.1
"02","CHN.JS",20765.6
"02","CHN.JX",5843.6
"02","CHN.LI",14193.6
"02","CHN.MA",8456
"02","CHN.NI",11244.1
"02","CHN.QI",13369.1
"02","CHN.SC",4029.6
"02","CHN.SD",9791.5
"02","CHN.SH",23707.9
"02","CHN.SI",12609.7
"02","CHN.SX",11424.5
"02","CHN.TI",13615.1
"02","CHN.TJ",10361
"02","CHN.WM",15848.7
"02","CHN.XI",7974.3
"02","CHN.YU",9007.6
"02","CHN.ZH",8410.7
"02","CIV",6356.5
"02","CMR",6907.2
"02","COD",2521.7
"02","COG",2003.7
"02","COL",44934
"02","CPV",32574.8
"02","CRI",44724.9
"02","CUB",29278.6
"02","CYP",17525.6
"02","CZE",15420.5
"02","DEU",388642.4
"02","DJI",18829.9
"02","DNK",522401.8
"02","DOM",46072.7
"02","DZA",15423.7
"02","ECU",3310.8
"02","EGY",25774.2
"02","ERI",14591.3
"02","ESH",25120.9
"02","ESP",9454211
"02","EST",297109.4
"02","ETH",29019.6
"02","FIN",353467.3
"02","FJI",12988
"02","FRA",13150502.7
