,1,2,3,4,5,6,7,8,9,10,11,12
HUN,73.8,67.8,73.8,70.2,43.1,19.1,10.2,8.4,10.9,32.2,73.8,73.8
IDN,720.2,803.7,889.7,973,1117.8,1396.5,1354,1274.2,1270.8,1141.2,871.5,723.3
IND,6326.5,6738.5,7381.5,7719.8,8095.5,8797.9,8275.5,7867.9,8013.5,7788.7,6938.7,6357
IRL,54.7,58.7,50.1,56.5,79.4,85.1,82,78,77.6,79.1,64.1,56.7
IRN,261,262.2,262.3,265.2,289.2,272.9,255.9,244.9,259.5,272.8,290.3,273
IRQ,71.4,75.7,78.7,81.5,90.7,108.6,102.3,101.1,98.4,79.7,65.5,69.4
ISL,1121.5,1098.5,1080.8,1035.4,1044.5,1048.4,1015.8,977.8,1007.6,1068.4,1099.7,1130.6
ISR,0,0,0,0,0,0,0,0,0,0,0,0
ITA,1467,1572.6,1743.5,1841.4,2104,2214.8,2019.1,1915.3,1885.6,1923.6,1743,1576.6
JAM,157,165.5,213.7,226,199.2,162.7,135.3,132.5,147.6,186.5,227.1,183.6
JOR,23.2,17.1,70.6,70.6,70.6,38.3,32.1,40,47.2,49.6,70.6,41.8
JPN,1884.5,1887.1,2016.3,1843.4,1820.6,1728.7,1512.6,1385.4,1509.4,1677.6,1854.1,1940.6
KAZ,180.9,198.5,259.1,230.8,191.5,192.9,175.2,121.7,153.5,125.8,170.5,175.1
KEN,550.9,560.6,530.5,500.7,449,428.4,400.1,409.5,407.3,458.4,496.1,554.6
KGZ,219.5,231,284.9,297.3,304.3,288.2,249.6,264.6,299.4,266.6,248.6,231.9
KHM,134.4,140.7,166.1,174.2,177,169.9,138.4,128,136.6,140.2,127.9,126.7
KOR,251.2,261.6,304.4,291.4,279.5,273.9,240,225.1,243,259.5,281.1,271.1
KOS,37.9,40.1,40.9,40.9,23.7,30.2,40.9,29,28.7,26.4,36,40.9
KWT,0,0,0,0,0,0,0,0,0,0,0,0
LAO,758.9,758.6,812.7,849.1,850.6,821.9,755.3,742,793.5,856,837.3,785.9
