,1,2,3,4,5,6,7,8,9,10,11,12
FIN,623.1,3361.4,4244.2,6708.6,10105.3,11867.3,10176.3,6820.9,5182.3,2909.1,808.6,518.5
FJI,11144.9,8272.3,10845.4,11336.5,10558.9,9186.2,10443.5,10910.3,11684.1,12607.2,12876.4,11701.8
FRA,3954633.2,4743215.5,6040470.7,7519653.9,7663747.3,7585708.3,7951499,7414164.4,7047756.1,5588210.6,4712130.6,3866312
GAB,9970.2,7668.4,8594.4,8494.6,8464.7,9408.2,9816.2,10031.6,9552.9,9352.5,8542.5,9868.9
GBR,2812124,4303659.2,7760459.9,10625239.6,10476519.5,11396318.3,11037930.8,9261238.3,9933894.1,6358237.7,2502785.8,1786948.5
GEO,8359.1,9044.6,10604,11146.1,12074.4,12422.3,13682,12878.3,12046.4,8463.2,8507.9,7733.9
GHA,11073.2,9213.5,9714.9,8854,9054.2,9231.1,9609.4,9224.5,9380.4,10014.7,11006.3,10575.8
GIN,14938,13779.5,15172.1,13201,11630.9,11149.5,11247.9,11365.3,11532.7,12577.6,14053.5,13476.7
GMB,10156.2,11315.8,12839,12407.6,11609.9,10545.1,9061.2,8337.1,7669,8350.8,9195.2,9997.8
GNB,10590,11360.9,12617.7,12051.1,10440.2,8668.9,7256.8,7928.8,7466.8,7570.5,9220.4,9580.3
GNQ,10245.5,7490.5,7861.4,7687.6,7728.3,8397.5,9427.5,8652.8,8668.7,8490.9,7810,10159.5
GRC,222798.1,244438.7,272130.7,371276.9,382452.2,354607.8,398940.1,360163.5,326346,272012.9,275342,263250.6
GTM,49611.6,47578.2,51518.9,46779.3,43864.6,35968.4,39471.7,41950,32497.3,39699,38993.8,48876.8
GUF,11090.8,10227.6,10494.7,10900,9726.9,10358.7,11944.8,12886,13260.6,13267.2,12437.3,11517.1
GUY,13351,12523.9,13491.8,12979.6,11497.5,10678.7,11633.7,13194.3,13622.7,13264.1,12031,12525.7
HND,71135.1,66932,74979.2,68445.7,63063.2,51036.1,60041.8,64086.9,53013.9,52957.8,61014.1,68519.6
HRV,5562.4,5944.7,6962.4,10744.1,14678.6,12841.3,13520.7,15329.8,12622.2,10396.7,5833.8,5441.9
HUN,3577.8,4254.1,5513.1,8201,9932.8,9212.3,9357.1,9664.2,8712.9,7040,4321.4,2195.8
IDN,14003.5,12980.9,14152.6,12519.9,14584.8,14451.9,16360.3,17206.6,16180.7,16455.8,13598.1,13187.4
IND,1159483,1113288.5,1263781.1,1222538.5,1206303,1054811.2,1040897.2,1128487.1,1151522.2,1181723.6,996277.3,1122970.3
IRL,1840.3,3377.7,5372.5,7755.6,7817.3,7603.6,7054.7,7073.4,6712.6,4201.4,2530.4,1647.5
IRN,25006.8,21691.2,28679,27766.2,27448.8,27634.6,28467.8,29942.8,28705.2,26393.8,24993.2,24471.6
IRQ,11212.9,11662.6,14422.1,14865.4,14523.7,14363.6,14665.2,14634.6,13327.6,11368.7,11008.6,10932.7
ISL,215,1643.1,4908.9,7642,10978.2,10240.2,9029.2,7438,4615.5,2311.1,565.1,43.3
ISR,189194.4,197544.4,268972.2,273598.6,277355.3,268480.5,275571.4,271349,243976.4,221754.6,191834.3,210053.8
ITA,591933.9,576269,815202,968117,986890.6,968155.4,1026349.8,938325.3,845129,646099.3,658182.9,558891.4
JAM,9075.7,10229.4,14353.4,16998.2,18499.4,16953.7,16967,15915.4,15135.4,12405.7,9272.4,7267.4
JOR,12351.7,12879.8,16228,16630,16458.6,15858.8,16189.8,15935.8,14834.6,13512.9,12147.9,13096.6
JPN,1047166.6,1146129.8,1486997.1,1479602.3,1680647.6,1342172.8,1513806.5,1501909.9,1314313.2,1525007.6,908535.4,1030278.8
KAZ,9871.9,11529.7,15669.8,16704.1,17371.5,17499.3,18138.4,18344.5,16864.2,13270.4,9229.1,7597.1
KEN,14220.4,13186.4,14073.1,11271.5,11496.4,11495.5,12590,13480.9,13611.8,13540,11442.9,12689.2
KGZ,10350,9913.6,13207.4,12836.5,12448.8,13295.5,14378.6,14332.7,14189.5,12257.5,9632.7,9681.7
KHM,14203.8,13680.8,14203.1,13083.5,11755.9,10487.4,10188.3,9776.9,9734.6,11643.5,12597.5,13734.8
KOR,109279.7,114680.1,159660.7,132359.1,161726,139283.1,141176.4,139102.7,142692.7,140196.9,73845.2,90932.7
KOS,6854.8,7973.6,9425.7,11531.2,11719.3,11886.1,13191.1,11897.5,9882.4,8101.4,7997.3,8363.7
KWT,11592.5,10827.6,12213.4,12613.6,11946.5,12776.1,12723.7,12803.4,12046.3,11054.9,9792,9444.1
LAO,11973.1,10659.2,10979.4,11131.5,10559.6,8684.3,8709.4,8110.3,9054.1,10857.4,10849.5,10566
LBN,7960.2,8054.5,11825.7,11800.2,12911.2,12574.6,12802.9,12731.6,11115.5,9548.1,8841.5,9299.7
LBR,10724.5,8813.4,9946.3,8523.7,8644.4,9093.8,10194.2,10068.3,9756.5,9942.7,10546.4,10674.4
LBY,13260.2,11878.8,13934.9,14596.3,14159.3,13241,13906.7,13733.1,12585.5,12603.8,12173.1,12478.2
LKA,23375.7,19197.8,24631.8,16972.8,14743.2,14845.8,16164.8,18002.8,15356.8,16059.4,15804.8,17133.6
LSO,14165.5,13613.1,13721.4,13221.6,13130.6,12182.3,12152.2,13228.3,13606.4,14968.7,15235.5,14351.9
LTU,2121.3,6538.7,8286.9,10413.9,16109.8,15508.9,14301.1,13608.1,8848.7,6221.3,2534.8,1734.6
LUX,2478.1,7709,6875.6,7403.2,10924.3,11305.7,11560.3,9756,9275.9,6191.7,3352.7,2318.7
LVA,1168.6,3984.8,5267.7,6844.2,10012.4,10235.7,8998.6,8280.5,5377.1,3416.9,1354.3,960.4
MAR,66478.6,67712.7,77841,72147.9,73614,69272.1,67235.6,64939,64238.1,63122.6,67518.7,57649.8
MDA,4379.4,6711.8,8621.6,10084.1,12001.4,11840.2,12279.7,11096.9,9178,8336.8,5101.1,5074.3
MDG,12995.8,10974.9,14439.1,14467.7,14946.4,13686,14798.6,15776,15946.2,15897.2,15631,13779
MEX,39878.9,45260,52224.4,52399.1,54888.9,46293.8,48619,49024.3,47156.3,45754.2,44152.2,43156.8
MKD,7883,8693,9555.1,12780.1,13154.4,13141.4,14527.3,13243.2,11153.5,9525,9227,10062.8
MLI,13669,14312.9,15255.2,15043.3,14310.2,13110,12698.1,12070,11992.9,12864,13823.7,13063.1
MMR,13885.3,13420.5,14356.4,13005.9,12188.8,11015.6,10387.9,11342.2,10653,11417.9,12432.1,12976.4
MNE,6553.4,8025.1,10387.9,11371.3,12281.2,12010.2,13134.3,11706.4,10062.6,7962.1,8086.4,9594.5
MNG,10814.5,12124.9,14730.4,14022.9,14376.7,13199.4,13220.8,13445.9,11763.9,11961.5,9075.2,9420.6
MOZ,11070.4,9494.3,12531.3,12372.4,12542.3,11287.6,11758.5,12767.4,12497.9,13453,12773.5,11674.1
MRT,34830,39501.3,51515.4,45731.1,47750.7,43302.3,44594.1,38599.5,39078.9,37753.2,35669.7,37828.2
MUS,20376.6,21422.2,22789.4,23684.9,21933.8,19866.5,21260.9,22843.7,24302.2,26289.8,25983.6,26495.1
MWI,13256.7,11849.9,16893.6,18101,18944,17290.1,18287.4,19487.1,19099.3,19167.5,18129.5,15279.7
MYS,109719.1,122522.7,119447.8,99061.1,91467,82968.1,80722.8,97372.1,89981.1,102865.4,90361.1,102119
NAM,61006.6,59675,58103.5,60101.1,61806.9,59677.2,57959,59570.5,63223.4,66788.1,66721.4,57757.9
