country,1,2,3,4,5,6,7,8,9,10,11,12
ETH,26807.9,29019.6,38833.8,39957,21992.4,14298.8,15284.6,14151.8,7915.8,37761.2,34304.4,28078.1
FIN,325328.4,353467.3,338958.6,277580.3,275775.1,262948.5,174232.2,170690.8,222818,255845.9,279296.3,357695.2
FJI,18618.7,12988,40831.5,52742.4,50584,57479.6,54704.2,54599,32631,53081.6,44868.2,29645.6
FRA,16093152.3,13150502.7,13793615.2,10619908.7,11964635.9,9518527.6,10847093.3,8780996.5,11873097.1,10279754.7,16709272.6,16414420
GAB,2710.3,2905.9,2488.2,2077,1701,2917,3454.5,3107.1,2706.9,2703.5,2483.2,2575.6
GBR,22101024.2,15099628.1,17606225.7,10850700.9,15748804.7,11500155,11991752.7,12109663.9,10661257.7,11592120.9,19453707.6,23509378.8
GEO,8491.6,6177.9,7723.3,7210.8,5432,4665.3,5238.6,5395,4680,4566.8,8737.3,8322.2
GHA,13116.7,7973.5,8490.8,6699,8090.4,7430.2,6433.3,5960.9,3516.1,3023.7,4259.3,15496.8
GIN,7062.3,5343.8,6917.4,5876.3,5364.6,4741.2,6325.3,8302.7,4760.4,2294.7,3752.3,9271.3
GMB,16170.6,19551.3,15112.4,10059,12388.1,11480.5,8499.1,6487.9,4327.5,2406.6,5183.8,11827.9
GNB,8890.4,11172.7,9463.4,9612.7,10398,7924.1,9404.2,9724.3,6523.1,2481.6,3960.4,9140.5
GNQ,2832.4,2880.4,2198.3,1520.1,1507.5,2516.6,3057.8,2855.7,2526.9,2604.6,2042.2,2718.9
GRC,307336,328384.1,233241.1,209550.2,167347.6,184386.4,254281.1,249226.5,179196.4,266895.8,244049,249140.1
GTM,44993,28125.2,30712.6,20298.3,19112.6,18381,22599,15684.4,8975.7,10988.1,18297.9,26791.8
GUF,10012.9,9108.7,9136.4,9542.1,7649.5,5892,6324.2,6502.6,7032.3,9087.7,9740.4,12521.1
GUY,11008,11114.3,13588.4,14030,12503.6,7757.4,6772.9,5814.1,5180.2,6256.3,8766.6,13511.8
HND,49478.5,31355.2,36119.4,25086,25458.8,29676.9,33752.9,22958.6,13410.5,9880,20321.5,29125.7
