country,Bio,Coa,Cog,Csp,Gas,Geo,Hyd,Nuc,Oil,Oth,Pet,Sto,Was,Wav,Wof,Imports
Price,15,22,10,15,20,28,22,19.9,50,50,50,40,40,40,40,1000000
Emissions,0,850,350,0,400,0,0,0,750,750,750,0,0,0,0,0
