iso,year,Bio,Coa,Cog,Csp,Gas,Geo,Hyd,Nuc,Oil,Oth,Pet,Sto,Was,Wav,Wof,imports
USA,2015,62760000,1352400000,0,0,1333480000,15920000,249080000,797180000,0,0,28250000,0,0,0,0,0
CHN,2015,0,4897746000,0,0,166907000,0,1112694000,171378000,0,0,4155000,0,0,0,0,0
CAN,2018,0,51816000,0,0,58293000,0,395097000,97155000,0,0,0,0,0,0,0,0
JPN,2015,0,333000000,0,0,385000000,0,85000000,4000000,0,0,92000000,0,0,0,0,0
RUS,2015,30000,158550000,0,0,529749000,457000,169941000,195470000,0,0,10102000,0,2789000,0,0,0
